{'time_stamp': 1592131997.864861, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.864297, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457d027d0007'}
{'time_stamp': 1592131997.870295, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47cf37cc96d8000'}
{'time_stamp': 1592131997.868614, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '1aef7cbb117dcc07'}
{'time_stamp': 1592131997.870862, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d017dfb7c4007'}
{'time_stamp': 1592131997.869728, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.869164, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457d067d0007'}
{'time_stamp': 1592131997.880187, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47cf37cc96d8000'}
{'time_stamp': 1592131997.8785, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '1cef7cc3117dcc07'}
{'time_stamp': 1592131997.880749, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d007df97c4007'}
{'time_stamp': 1592131997.879616, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.879057, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'be7c457d007d0007'}
{'time_stamp': 1592131997.890239, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f57cf27cc86d8000'}
{'time_stamp': 1592131997.888542, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '14ef7cc3117dcc08'}
{'time_stamp': 1592131997.89081, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7cfb7cf87c4008'}
{'time_stamp': 1592131997.889674, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.889109, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457df07c0008'}
{'time_stamp': 1592131997.900235, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f67cf27cc86d8000'}
{'time_stamp': 1592131997.898555, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '03ef7cc0117dcc08'}
{'time_stamp': 1592131997.900808, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cf87c037d4008'}
{'time_stamp': 1592131997.899676, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592132008.728383, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003763262e'}
{'time_stamp': 1592131997.899115, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457de37c0008'}
{'time_stamp': 1592131997.91051, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f67cf37cc86d8000'}
{'time_stamp': 1592131997.90883, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f4ee7cbd117dcc09'}
{'time_stamp': 1592131997.911109, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfb7c0a7d4009'}
{'time_stamp': 1592131997.909946, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.909381, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457dee7c0009'}
{'time_stamp': 1592131997.920278, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f67cf37cc86d8000'}
{'time_stamp': 1592131997.918594, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'eeee7cb6117dcc09'}
{'time_stamp': 1592131997.920843, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfd7c087d4009'}
{'time_stamp': 1592131997.919716, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.919149, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457df77c0009'}
{'time_stamp': 1592131997.930198, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f67cf37cc96d8000'}
{'time_stamp': 1592131997.92851, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e7ee7cb4117dcc09'}
{'time_stamp': 1592131997.930758, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cfd7c027d4009'}
{'time_stamp': 1592131997.929629, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.929067, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457df47c0009'}
{'time_stamp': 1592131997.940247, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f57cf37cca6d8000'}
{'time_stamp': 1592131997.938578, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e2ee7cac117dcc07'}
{'time_stamp': 1592131997.94085, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cfe7c027d4007'}
{'time_stamp': 1592131997.939678, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.93913, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457dfa7c0007'}
{'time_stamp': 1592131997.950173, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47cf37cca6d8000'}
{'time_stamp': 1592131997.948521, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e1ee7ca8117dcc07'}
{'time_stamp': 1592131997.950742, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7c007d037d4007'}
{'time_stamp': 1592131997.949614, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.949047, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c447d007d0007'}
{'time_stamp': 1592131997.965385, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47cf27ccb6d8000'}
{'time_stamp': 1592131997.963707, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e6ee7cb8117dcc08'}
{'time_stamp': 1592131997.96596, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d027dfa7c4008'}
{'time_stamp': 1592131997.964821, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.964257, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457d087d0008'}
{'time_stamp': 1592131997.970294, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47cf27ccb6d8000'}
{'time_stamp': 1592131997.968618, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e8ee7cb7117dcc08'}
{'time_stamp': 1592131997.970863, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7c017dfb7c4008'}
{'time_stamp': 1592131997.969733, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.969168, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457d067d0008'}
{'time_stamp': 1592131997.980224, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47cf27ccb6d8000'}
{'time_stamp': 1592131997.978548, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'eaee7caa117dcc08'}
{'time_stamp': 1592131997.980799, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f97c007dff7c4008'}
{'time_stamp': 1592131997.97966, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.979099, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c457d017d0008'}
{'time_stamp': 1592131997.99022, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47cf27ccb6d8000'}
{'time_stamp': 1592131997.988544, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e6ee7c9b117dcc09'}
{'time_stamp': 1592131997.990788, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fb7cfd7c007d4009'}
{'time_stamp': 1592131997.989656, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7cfc7c32798000'}
{'time_stamp': 1592131997.989093, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'bd7c447df67c0009'}
