{'time_stamp': 1591345950.945173, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '437df67cdd7c000a'}
{'time_stamp': 1591345950.956299, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '077d047dbf6d8000'}
{'time_stamp': 1591345950.954626, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '2b117d98fd7ccc0a'}
{'time_stamp': 1591345950.956862, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': '017dff7c047d400a'}
{'time_stamp': 1591345950.955728, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '017d017d2f798000'}
{'time_stamp': 1591345950.955175, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '437df67cfd7c000a'}
{'time_stamp': 1591345950.97117, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '077d047dc06d8000'}
{'time_stamp': 1591345950.969493, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '36117da3fd7ccc07'}
{'time_stamp': 1591345950.97173, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': '087d027dff7c4007'}
{'time_stamp': 1591345950.970597, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '017d017d30798000'}
{'time_stamp': 1591345950.970035, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '437df67c0a7d0007'}
{'time_stamp': 1591345950.976315, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '077d047dc06d8000'}
{'time_stamp': 1591345950.97463, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '39117daefd7ccc0a'}
{'time_stamp': 1591345950.976871, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': '087d017dfc7c400a'}
{'time_stamp': 1591345950.975751, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '017d017d30798000'}
{'time_stamp': 1591345950.975184, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '437df67c077d000a'}
{'time_stamp': 1591345950.98633, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '087d037dc16d8000'}
{'time_stamp': 1591345950.98464, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '35117dc2fd7ccc09'}
{'time_stamp': 1591345950.986888, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': '077dfd7cfe7c4009'}
{'time_stamp': 1591345950.98577, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '027d007d30798000'}
{'time_stamp': 1591345950.985192, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '437df77cf57c0009'}
{'time_stamp': 1591345950.996313, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '077d037dc16d8000'}
{'time_stamp': 1591345950.994619, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '2c117dcdfd7ccc09'}
{'time_stamp': 1591345950.996869, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': '037dfc7c047d4009'}
{'time_stamp': 1591345950.995741, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '017d007d30798000'}
{'time_stamp': 1591345950.995178, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '437df77cf27c0009'}
{'time_stamp': 1591345951.006245, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '077d037dc16d8000'}
{'time_stamp': 1591345951.004563, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '1a117dd3fd7ccc09'}
{'time_stamp': 1591345951.006803, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': '027df77c047d4009'}
{'time_stamp': 1591345951.005678, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '017d007d30798000'}
{'time_stamp': 1591345951.005107, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '427df77cdd7c0009'}
{'time_stamp': 1591345951.016259, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '087d037dc06d8000'}
{'time_stamp': 1591345951.014569, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': 'fe107dd3fd7ccc09'}
