{'time_stamp': 1595834813.663497, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.257473, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'd4e8fb3d1ffdf900'}
{'time_stamp': 1595834833.256345, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '4ce8cb401f3ff27e'}
{'time_stamp': 1595834831.013908, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.674135, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '097d047dfd7c4002'}
{'time_stamp': 1595834813.673571, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2d79bf02'}
{'time_stamp': 1595834833.267316, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '4de9cb3d9ffbf900'}
{'time_stamp': 1595834833.266193, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '47e86b40df5af27e'}
{'time_stamp': 1595834831.02406, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.684065, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '047d047dfd7c4002'}
{'time_stamp': 1595834813.683508, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '087d027d2d79bf02'}
{'time_stamp': 1595834833.277437, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'f3e8e33e1f00fa00'}
{'time_stamp': 1595834833.27631, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '3fe863405f6cf27e'}
{'time_stamp': 1595834831.034078, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.694059, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7c047dff7c4002'}
{'time_stamp': 1595834813.693507, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '087d027d2d79bf02'}
{'time_stamp': 1595834833.287414, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '3ae8c3409ffef900'}
{'time_stamp': 1595834833.286272, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '3fe8bb40df69f27e'}
{'time_stamp': 1595834831.043978, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.704202, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7c047dff7c4002'}
{'time_stamp': 1595834813.703688, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.297391, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'c6e7f341dffbf980'}
{'time_stamp': 1595834833.296251, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '44e8fb40df5df27e'}
{'time_stamp': 1595834831.053928, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.714044, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d027d017d4002'}
{'time_stamp': 1595834813.713494, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.307358, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'bfe7cb41dff8f980'}
{'time_stamp': 1595834833.306176, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '50e8f340df51f27e'}
{'time_stamp': 1595834831.064121, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.724058, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d037dff7c4002'}
{'time_stamp': 1595834813.723511, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.317415, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'f7e7f3415ffaf980'}
{'time_stamp': 1595834833.316294, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '54e89b401f4bf27e'}
{'time_stamp': 1595834831.073972, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.734139, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d077dff7c4002'}
{'time_stamp': 1595834813.733583, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.327333, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '3fe823411ffdf900'}
{'time_stamp': 1595834833.326187, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '4de883405f50f27e'}
{'time_stamp': 1595834831.084047, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.744066, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '087d077dfe7c4002'}
{'time_stamp': 1595834813.743508, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2d79bf02'}
{'time_stamp': 1595834833.337397, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '6be883401ffdf900'}
{'time_stamp': 1595834833.336256, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '45e8a3405f5af27e'}
{'time_stamp': 1595834831.094052, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.754058, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '057d057dfa7c4002'}
{'time_stamp': 1595834813.753508, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2d79bf02'}
{'time_stamp': 1595834833.347428, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '58e8f3419ffbf900'}
{'time_stamp': 1595834833.346285, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '43e8cb405f60f27e'}
{'time_stamp': 1595834831.104013, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.764211, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d057dfc7c4002'}
{'time_stamp': 1595834813.763645, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2c79bf02'}
{'time_stamp': 1595834833.35754, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'fce72b425ffef980'}
{'time_stamp': 1595834833.356352, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '4ae8db409f5ff27e'}
{'time_stamp': 1595834831.114098, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.774001, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d057dff7c4002'}
{'time_stamp': 1595834813.773446, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.367294, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '96e7fb409ffef980'}
{'time_stamp': 1595834833.366181, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '4ce8cb405f57f27e'}
{'time_stamp': 1595834831.124069, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.784063, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '077d047dff7c4002'}
{'time_stamp': 1595834813.783502, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.377387, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'b3e7cb40dff8f980'}
{'time_stamp': 1595834833.376249, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '49e8cb409f4ef27e'}
{'time_stamp': 1595834831.133977, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.794144, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '087d077dfb7c4002'}
{'time_stamp': 1595834813.793583, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2c79bf02'}
{'time_stamp': 1595834833.387244, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '13e88b415ff4f980'}
{'time_stamp': 1595834833.386109, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '47e893409f50f27e'}
{'time_stamp': 1595834831.143983, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.803999, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '057d067dfd7c4002'}
{'time_stamp': 1595834813.80344, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '087d027d2d79bf02'}
{'time_stamp': 1595834833.397604, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '51e823411ffaf900'}
{'time_stamp': 1595834833.396465, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '49e873401f58f27e'}
{'time_stamp': 1595834831.153998, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.81407, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d097dfc7c4002'}
{'time_stamp': 1595834813.813517, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2d79bf02'}
{'time_stamp': 1595834833.407434, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '57e88b419ffef900'}
