{'time_stamp': 1590044683.834831, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfd7c027d0004'}
{'time_stamp': 1590044683.83426, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '087d027d2979bf04'}
{'time_stamp': 1590044691.546082, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'f0e7bb419f0cfa80'}
{'time_stamp': 1590044691.544913, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '38e84b409f53f27e'}
{'time_stamp': 1590044683.843626, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'bc357dd8f87c0004'}
{'time_stamp': 1590044683.844758, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7cfe7c017d0004'}
{'time_stamp': 1590044683.844176, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '077d017d2a79bf04'}
{'time_stamp': 1590044691.555859, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '07e8a3409f09fa00'}
{'time_stamp': 1590044691.554727, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '3ce84b401f52f27e'}
{'time_stamp': 1590044683.853628, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ba357dd5f87c0004'}
{'time_stamp': 1590044683.854752, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cff7cfe7c0004'}
{'time_stamp': 1590044683.854178, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '077d007d2b79bf04'}
{'time_stamp': 1590044691.566091, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '25e843405f08fa00'}
{'time_stamp': 1590044691.564949, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '3de84340df51f27e'}
{'time_stamp': 1590044683.863638, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b8357dd6f87c0004'}
{'time_stamp': 1590044683.864761, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017dff7c017d0004'}
{'time_stamp': 1590044683.864184, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '077d017d2a79bf04'}
{'time_stamp': 1590044691.575841, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '19e873409f06fa00'}
{'time_stamp': 1590044691.574715, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '3ae84b405f52f27e'}
{'time_stamp': 1590044683.873659, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b8357dddf87c0004'}
{'time_stamp': 1590044683.874755, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '047d017d017d0004'}
{'time_stamp': 1590044683.874194, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '077d017d2979bf04'}
{'time_stamp': 1590044691.585972, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '19e873409f09fa00'}
{'time_stamp': 1590044691.584836, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '38e84b405f53f27e'}
