{'time_stamp': 1593760530.036446, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.035878, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d907cef7c0008'}
{'time_stamp': 1593760530.052171, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f57c127d368c8000'}
{'time_stamp': 1593760530.050483, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b6257dade37ccc09'}
{'time_stamp': 1593760530.037616, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f27c147d007d0008'}
{'time_stamp': 1593760530.051598, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.051032, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d917c087d0009'}
{'time_stamp': 1593760530.057124, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f57c127d368c8000'}
{'time_stamp': 1593760530.055431, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'bf257daae37ccc09'}
{'time_stamp': 1593760530.052738, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f87c127d027d0009'}
{'time_stamp': 1593760530.056567, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.055987, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d917c1c7d0009'}
{'time_stamp': 1593760530.067044, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f57c127d378c8000'}
{'time_stamp': 1593760530.065352, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd3257d97e37ccc09'}
{'time_stamp': 1593760530.057687, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7c107d017d0009'}
{'time_stamp': 1593760530.066487, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.065913, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d917c177d0009'}
{'time_stamp': 1593760530.077616, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f57c127d368c8000'}
{'time_stamp': 1593760530.075914, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ce257d82e37ccc07'}
{'time_stamp': 1593760530.067623, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7c097dfd7c0009'}
{'time_stamp': 1593760530.077048, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.076498, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d907cef7c0007'}
{'time_stamp': 1593760530.087057, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f57c117d368c8000'}
{'time_stamp': 1593760530.08536, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b7257d6fe37ccc07'}
{'time_stamp': 1593760530.07818, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f27c0b7d007d0007'}
{'time_stamp': 1593760530.086494, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.085928, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d907cd87c0007'}
{'time_stamp': 1593760530.097357, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f57c117d358c8000'}
{'time_stamp': 1593760530.095662, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'a4257d5be37ccc08'}
{'time_stamp': 1593760530.087617, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ec7c0a7d057d0007'}
{'time_stamp': 1593760530.096787, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.09622, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d907ce67c0008'}
{'time_stamp': 1593760530.107106, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c127d348c8000'}
{'time_stamp': 1593760530.105411, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '98257d54e37ccc08'}
{'time_stamp': 1593760530.097912, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ef7c0b7d027d0008'}
{'time_stamp': 1593760530.106535, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.105969, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '927d907cf07c0008'}
{'time_stamp': 1593760530.117053, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c127d348c8000'}
{'time_stamp': 1593760530.115348, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '93257d66e37ccc08'}
{'time_stamp': 1593760530.107675, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f27c127dfe7c0008'}
{'time_stamp': 1593760530.116478, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.115908, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '927d907cfb7c0008'}
{'time_stamp': 1593760530.127055, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c127d348c8000'}
{'time_stamp': 1593760530.125361, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '9a257d6fe37ccc09'}
{'time_stamp': 1593760530.117616, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f57c1b7df97c0008'}
{'time_stamp': 1593760530.126484, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.125923, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '927d907c117d0009'}
{'time_stamp': 1593760530.137021, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c137d348c8000'}
{'time_stamp': 1593760530.135327, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b5257d6ae37ccc09'}
{'time_stamp': 1593760530.127624, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fa7c137df57c0009'}
{'time_stamp': 1593760530.136449, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.135878, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d907c2f7d0009'}
{'time_stamp': 1593760530.152222, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c137d338c8000'}
{'time_stamp': 1593760530.150524, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b3257d98e37ccc07'}
{'time_stamp': 1593760530.137584, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d117df97c0009'}
{'time_stamp': 1593760530.151648, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcc808000'}
{'time_stamp': 1593760530.151082, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d917cf97c0007'}
{'time_stamp': 1593760530.157126, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c137d338c8000'}
{'time_stamp': 1593760530.155421, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ae257d94e37ccc07'}
{'time_stamp': 1593760530.152787, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f47c147dfd7c0007'}
{'time_stamp': 1593760530.156553, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcc808000'}
{'time_stamp': 1593760530.15598, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d907cef7c0007'}
{'time_stamp': 1593760530.167052, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c137d348c8000'}
{'time_stamp': 1593760530.165357, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ac257d82e37ccc08'}
{'time_stamp': 1593760530.157681, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f27c0f7dfb7c0007'}
{'time_stamp': 1593760530.166483, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.165917, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '937d907c037d0008'}
{'time_stamp': 1593760530.177058, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c137d358c8000'}
{'time_stamp': 1593760530.175379, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c1257d78e37ccc08'}
