{'time_stamp': 1594364646.019023, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'e77c077d017d4009'}
{'time_stamp': 1594364646.017899, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d027d2e798000'}
{'time_stamp': 1594364646.027355, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7daf7cf37c0009'}
{'time_stamp': 1594364646.028481, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '147d0a7db76d8000'}
{'time_stamp': 1594364646.026826, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ce287d7beb7ccc09'}
{'time_stamp': 1594364646.029045, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'dd7cfc7c017d4009'}
{'time_stamp': 1594364646.027914, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d027d2d798000'}
{'time_stamp': 1594364657.217034, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594364646.03798, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7dae7cf17c000a'}
{'time_stamp': 1594364646.039113, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '157d0b7db66d8000'}
{'time_stamp': 1594364646.037463, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c4287d21eb7ccc0a'}
{'time_stamp': 1594364646.039683, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'de7cfc7c007d400a'}
{'time_stamp': 1594364646.038548, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d027d2d798000'}
{'time_stamp': 1594364646.047352, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7dad7cf47c0009'}
{'time_stamp': 1594364646.048462, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '167d0b7db46d8000'}
{'time_stamp': 1594364646.046839, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'bc287de1ea7ccc09'}
{'time_stamp': 1594364646.049024, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'e97cfd7cfc7c4009'}
{'time_stamp': 1594364646.047899, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d027d2d798000'}
{'time_stamp': 1594364646.057324, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7dac7c007d0009'}
{'time_stamp': 1594364646.058448, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '167d0c7db16d8000'}
{'time_stamp': 1594364646.056775, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ba287db0ea7ccc09'}
{'time_stamp': 1594364646.059011, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ed7c007dfd7c4009'}
{'time_stamp': 1594364646.057876, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2c798000'}
{'time_stamp': 1594364646.067378, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7dac7c1c7d0009'}
{'time_stamp': 1594364646.068506, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '167d0c7daf6d8000'}
{'time_stamp': 1594364646.066816, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c7287d85ea7ccc09'}
{'time_stamp': 1594364646.069073, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ef7c077d007d4009'}
{'time_stamp': 1594364646.067934, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2b798000'}
{'time_stamp': 1594364646.077972, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7dab7c237d000a'}
{'time_stamp': 1594364646.079106, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '167d0c7daf6d8000'}
{'time_stamp': 1594364646.077421, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'df287d5bea7ccc0a'}
{'time_stamp': 1594364646.079668, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ee7c097d007d400a'}
{'time_stamp': 1594364646.078534, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2b798000'}
{'time_stamp': 1594364646.087382, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7daa7c0e7d0009'}
{'time_stamp': 1594364646.088515, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '157d0c7db06d8000'}
{'time_stamp': 1594364646.086826, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ed287d1eea7ccc09'}
{'time_stamp': 1594364646.089081, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'e57c037dff7c4009'}
{'time_stamp': 1594364646.08794, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2c798000'}
{'time_stamp': 1594364646.097385, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7da97c047d0008'}
{'time_stamp': 1594364646.098514, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '147d0c7db16d8000'}
{'time_stamp': 1594364646.09686, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f0287dcce97ccc08'}
{'time_stamp': 1594364646.099077, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'de7c017d047d4008'}
{'time_stamp': 1594364646.097939, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2c798000'}
{'time_stamp': 1594364646.108606, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a07da87c077d0008'}
{'time_stamp': 1594364646.109737, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '147d0c7db36d8000'}
{'time_stamp': 1594364646.108043, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f8287d8ee97ccc08'}
{'time_stamp': 1594364646.110306, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'e77c017d057d4008'}
{'time_stamp': 1594364646.109169, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2c798000'}
{'time_stamp': 1594364646.117979, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a07da77c067d000a'}
{'time_stamp': 1594364646.119108, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '147d0c7db36d8000'}
{'time_stamp': 1594364646.117418, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'fd287d67e97ccc0a'}
{'time_stamp': 1594364646.119673, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f37c017d027d400a'}
{'time_stamp': 1594364646.118539, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2c798000'}
{'time_stamp': 1594364646.127399, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a07da77cf17c0008'}
{'time_stamp': 1594364646.128528, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '147d0d7db46d8000'}
{'time_stamp': 1594364646.126846, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f8287d4de97ccc08'}
{'time_stamp': 1594364646.129108, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f67cfc7cfc7c4008'}
{'time_stamp': 1594364646.127964, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2d798000'}
{'time_stamp': 1594364646.137386, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7da67ce47c0008'}
{'time_stamp': 1594364646.138519, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '147d0d7db46d8000'}
{'time_stamp': 1594364646.136873, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e7287d27e97ccc08'}
{'time_stamp': 1594364646.139085, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ee7cf87cfa7c4008'}
{'time_stamp': 1594364646.137951, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2d798000'}
{'time_stamp': 1594364646.147387, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7da57ce87c0008'}
{'time_stamp': 1594364646.148523, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '147d0c7db46d8000'}
{'time_stamp': 1594364646.146827, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd7287deae87ccc08'}
{'time_stamp': 1594364646.149085, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'e67cf97cfd7c4008'}
{'time_stamp': 1594364646.147953, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2d798000'}
{'time_stamp': 1594364646.157923, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7da47cf57c0009'}
{'time_stamp': 1594364646.159065, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '147d0c7db46d8000'}
{'time_stamp': 1594364646.157372, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'cd287d9fe87ccc09'}
{'time_stamp': 1594364646.159622, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'e17cfd7c057d4009'}
{'time_stamp': 1594364646.158489, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2d798000'}
{'time_stamp': 1594364646.167393, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7da37cf67c0008'}
{'time_stamp': 1594364646.168523, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '147d0c7db56d8000'}
