{'time_stamp': 1595816493.502763, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816512.956179, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '0ee8bb401ffdf980'}
{'time_stamp': 1595816512.955032, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '1ee87b401f59f27e'}
{'time_stamp': 1595816510.742802, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.513306, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d057d027d4002'}
{'time_stamp': 1595816493.512754, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816512.966106, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '0de88b409ffef980'}
{'time_stamp': 1595816512.964968, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '1fe88b401f58f27e'}
{'time_stamp': 1595816510.753011, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.523308, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '057d067dff7c4002'}
{'time_stamp': 1595816493.522745, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816512.97619, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '01e88340dffbf980'}
{'time_stamp': 1595816512.975061, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '20e89340df56f27e'}
{'time_stamp': 1595816510.762796, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.533326, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '047d057dfe7c4002'}
{'time_stamp': 1595816493.532765, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2b79bf02'}
{'time_stamp': 1595816512.986094, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '0de88b40dff8f980'}
{'time_stamp': 1595816512.984969, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '20e893405f56f27e'}
{'time_stamp': 1595816510.772989, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.543166, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '057d097dfe7c4002'}
{'time_stamp': 1595816493.542609, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2b79bf02'}
