{'time_stamp': 1594170237.73284, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cfe7cfc7c4008'}
{'time_stamp': 1594170237.732266, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d017d2c798000'}
{'time_stamp': 1594170247.778983, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.841116, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a37dc87cfb7c0008'}
{'time_stamp': 1594170260.842253, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '187d077db26d8000'}
{'time_stamp': 1594170237.741705, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '6c2b7db8f57ccc08'}
{'time_stamp': 1594170237.742837, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f97cfe7cfe7c4008'}
{'time_stamp': 1594170237.742259, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d017d2c798000'}
{'time_stamp': 1594170249.347097, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.851649, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a37dc87c077d0009'}
{'time_stamp': 1594170260.852774, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '177d077db16d8000'}
{'time_stamp': 1594170237.751701, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '642b7da8f57ccc08'}
{'time_stamp': 1594170237.752819, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f97cfc7c007d4008'}
{'time_stamp': 1594170237.752255, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '067d017d2d798000'}
{'time_stamp': 1594170249.357119, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.862448, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a37dc87c117d0008'}
{'time_stamp': 1594170260.863578, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '167d077db16d8000'}
{'time_stamp': 1594170237.762239, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '5f2b7d93f57ccc09'}
{'time_stamp': 1594170237.763347, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f67cfe7c037d4009'}
{'time_stamp': 1594170237.762793, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '067d017d2d798000'}
{'time_stamp': 1594170249.367115, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.871108, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a37dc87c057d0008'}
{'time_stamp': 1594170260.872238, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '157d077db16d8000'}
{'time_stamp': 1594170237.771713, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '622b7d7af57ccc08'}
{'time_stamp': 1594170237.77283, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f67c017d077d4008'}
{'time_stamp': 1594170237.772267, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '067d017d2d798000'}
{'time_stamp': 1594170249.377114, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.881114, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a37dc87c017d0007'}
{'time_stamp': 1594170260.882244, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '157d087db16d8000'}
{'time_stamp': 1594170237.781706, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '642b7d60f57ccc08'}
{'time_stamp': 1594170237.782827, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f47c007d027d4008'}
{'time_stamp': 1594170237.782258, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '067d017d2d798000'}
{'time_stamp': 1594170249.38711, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.891648, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a37dc87c207d0008'}
{'time_stamp': 1594170260.892768, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '147d087db26d8000'}
{'time_stamp': 1594170237.791714, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '6a2b7d41f57ccc08'}
